"","x"
"1",52.8199720562184
"2",52.8778778638149
"3",52.9362487906098
"4",52.9946971634978
"5",53.0532104923667
"6",53.1117884415373
"7",53.1704310691614
"8",53.229138446225
"9",53.2879106442065
"10",53.3467477346765
"11",53.4056497892851
"12",53.4646168797617
"13",53.5236490779145
"14",53.5827464556314
"15",53.6419090848793
"16",53.701137037705
"17",53.7604303862344
"18",53.8197892026733
"19",53.8792135593071
"20",53.9387035285012
"21",53.9982591827008
"22",54.0578805944309
"23",54.1175678362968
"24",54.177320980984
"25",54.2371401012581
"26",54.2970252699652
"27",54.3569765600315
"28",54.4169940444642
"29",54.4770777963508
"30",54.5372278888595
"31",54.5974443952395
"32",54.6577273888206
"33",54.7180769430137
"34",54.7784931313108
"35",54.8389760272851
"36",54.8995257045908
"37",54.9601422369635
"38",55.0208256982205
"39",55.0815761622602
"40",55.1423937030628
"41",55.2032783946902
"42",55.264230311286
"43",55.3252495270757
"44",55.3863361163667
"45",55.4474901535486
"46",55.508711713093
"47",55.5700008695537
"48",55.631357697567
"49",55.6927822718513
"50",55.7542746672078
"51",55.8158349585202
"52",55.8774632207548
"53",55.9391595289607
"54",56.0009239582699
"55",56.0627565838975
"56",56.1246574811413
"57",56.1866267253826
"58",56.2486643920856
"59",56.3107705567981
"60",56.3729452951512
"61",56.4351886828595
"62",56.4975007957212
"63",56.5598817096182
"64",56.6223315005162
"65",56.6848502444648
"66",56.7474380175975
"67",56.8100948961318
"68",56.8728209563696
"69",56.9356162746968
"70",56.9984809275838
"71",57.0614149915853
"72",57.1244185433406
"73",57.1874916595738
"74",57.2506344170933
"75",57.3138468927926
"76",57.3771291636501
"77",57.440481306729
"78",57.5039033991779
"79",57.5673955182304
"80",57.6309577412052
"81",57.6945901455067
"82",57.7582928086245
"83",57.822065808134
"84",57.8859092216961
"85",57.9498231270574
"86",58.0138076020505
"87",58.0778627245938
"88",58.1419885726918
"89",58.2061852244352
"90",58.2704527580008
"91",58.3347912516516
"92",58.3992007837374
"93",58.4636814326942
"94",58.5282332770447
"95",58.5928563953982
"96",58.6575508664509
"97",58.722316768986
"98",58.7871541818734
"99",58.8520631840703
"100",58.917043854621
"101",58.9820962726572
"102",59.0472205173978
"103",59.1124166681491
"104",59.1776848043053
"105",59.243025005348
"106",59.3084373508466
"107",59.3739219204584
"108",59.4394787939286
"109",59.5051080510905
"110",59.5708097718655
"111",59.6365840362634
"112",59.702430924382
"113",59.7683505164079
"114",59.834342892616
"115",59.90040813337
"116",59.9665463191222
"117",60.0327575304138
"118",60.099041847875
"119",60.1653993522248
"120",60.2318301242715
"121",60.2983342449126
"122",60.364911795135
"123",60.4315628560148
"124",60.4982875087178
"125",60.5650858344994
"126",60.6319579147046
"127",60.6989038307684
"128",60.7659236642156
"129",60.833017496661
"130",60.9001854098095
"131",60.9674274854563
"132",61.0347438054868
"133",61.1021344518771
"134",61.1695995066934
"135",61.2371390520927
"136",61.3047531703228
"137",61.3724419437222
"138",61.4402054547204
"139",61.5080437858378
"140",61.575957019686
"141",61.6439452389677
"142",61.7120085264772
"143",61.7801469650998
"144",61.8483606378127
"145",61.9166496276845
"146",61.9850140178755
"147",62.0534538916379
"148",62.121969332316
"149",62.1905604233457
"150",62.2592272482554
"151",62.3279698906656
"152",62.396788434289
"153",62.4656829629309
"154",62.5346535604892
"155",62.6037003109542
"156",62.672823298409
"157",62.7420226070297
"158",62.8112983210851
"159",62.8806505249374
"160",62.9500793030415
"161",63.0195847399459
"162",63.0891669202923
"163",63.1588259288159
"164",63.2285618503453
"165",63.2983747698031
"166",63.3682647722054
"167",63.4382319426622
"168",63.5082763663776
"169",63.5783981286495
"170",63.6485973148704
"171",63.7188740105267
"172",63.7892283011995
"173",63.859660272564
"174",63.9301700103905
"175",64.0007576005435
"176",64.0714231289827
"177",64.1421666817625
"178",64.2129883450323
"179",64.2838882050368
"180",64.3548663481158
"181",64.4259228607044
"182",64.4970578293332
"183",64.5682713406283
"184",64.6395634813115
"185",64.7109343382004
"186",64.7823839982082
"187",64.8539125483444
"188",64.9255200757143
"189",64.9972066675196
"190",65.0689724110581
"191",65.1408173937241
"192",65.2127417030084
"193",65.2847454264982
"194",65.3568286518778
"195",65.4289914669279
"196",65.5012339595263
"197",65.573556217648
"198",65.6459583293648
"199",65.718440382846
"200",65.7910024663582
"201",65.8636446682654
"202",65.9363670770291
"203",66.0091697812086
"204",66.082052869461
"205",66.1550164305412
"206",66.2280605533021
"207",66.3011853266948
"208",66.3743908397686
"209",66.4476771816709
"210",66.5210444416478
"211",66.5944927090439
"212",66.6680220733023
"213",66.741632623965
"214",66.8153244506728
"215",66.8890976431655
"216",66.9629522912819
"217",67.0368884849602
"218",67.1109063142377
"219",67.1850058692512
"220",67.2591872402371
"221",67.3334505175312
"222",67.4077957915692
"223",67.4822231528867
"224",67.5567326921193
"225",67.6313245000024
"226",67.7059986673718
"227",67.7807552851637
"228",67.8555944444144
"229",67.9305162362609
"230",68.005520751941
"231",68.0806080827928
"232",68.1557783202555
"233",68.2310315558695
"234",68.3063678812758
"235",68.3817873882169
"236",68.4572901685366
"237",68.5328763141799
"238",68.6085459171934
"239",68.6842990697255
"240",68.7601358640261
"241",68.8360563924472
"242",68.9120607474425
"243",68.988149021568
"244",69.0643213074819
"245",69.1405776979444
"246",69.2169182858186
"247",69.2933431640696
"248",69.3698524257657
"249",69.4464461640775
"250",69.5231244722788
